"","id","date","pm25","pm10","o3","no2","so2","co"
"285",tianjin,"2019/7/12",70,49,NA,10,3,6
"286",tianjin,"2019/7/13",122,56,NA,11,3,8
"287",tianjin,"2019/7/14",135,40,NA,9,3,7
"288",tianjin,"2019/7/15",77,39,NA,9,3,8
"289",tianjin,"2019/7/16",94,40,NA,9,5,8
"290",tianjin,"2019/7/17",77,62,NA,12,4,9
"291",tianjin,"2019/7/18",149,72,NA,13,2,10
"292",tianjin,"2019/7/19",166,31,NA,10,3,6
"293",tianjin,"2019/7/20",66,35,NA,13,2,5
"294",tianjin,"2019/7/21",80,52,NA,11,NA,9
"295",tianjin,"2019/7/22",149,57,NA,17,3,11
"296",tianjin,"2019/7/23",130,35,NA,9,2,7
"297",tianjin,"2019/7/24",80,45,NA,13,2,8
"298",tianjin,"2019/7/25",94,54,NA,13,1,7
"299",tianjin,"2019/7/26",90,68,NA,11,1,10
"300",tianjin,"2019/7/27",118,59,NA,11,1,10
"301",tianjin,"2019/7/28",128,52,NA,9,1,13
"302",tianjin,"2019/7/29",122,30,NA,7,1,8
"303",tianjin,"2019/7/30",82,31,NA,7,1,6
"304",tianjin,"2019/7/31",71,49,NA,9,2,8
"305",tianjin,"2019/8/1",102,50,NA,10,1,7
"306",tianjin,"2019/8/2",102,41,NA,11,1,10
"307",tianjin,"2019/8/3",95,29,NA,8,2,9
"308",tianjin,"2019/8/4",68,35,NA,12,1,10
"309",tianjin,"2019/8/5",85,44,NA,9,1,8
"310",tianjin,"2019/8/6",94,48,NA,15,1,10
"311",tianjin,"2019/8/7",120,45,NA,12,1,9
"312",tianjin,"2019/8/8",91,44,NA,11,2,9
"313",tianjin,"2019/8/9",120,31,NA,9,1,5
"314",tianjin,"2019/8/10",75,18,NA,9,1,5
"315",tianjin,"2019/8/11",86,16,NA,8,1,8
"316",tianjin,"2019/8/12",44,10,NA,5,1,3
"317",tianjin,"2019/8/13",26,15,NA,8,2,4
"318",tianjin,"2019/8/14",20,37,NA,14,3,7
"319",tianjin,"2019/8/15",76,49,NA,13,3,7
"320",tianjin,"2019/8/16",114,27,NA,9,2,3
"321",tianjin,"2019/8/17",40,30,NA,13,2,4
"322",tianjin,"2019/8/18",31,51,NA,18,5,7
"323",tianjin,"2019/8/19",66,57,NA,22,5,11
"324",tianjin,"2019/8/20",92,50,NA,18,4,12
